Ticket ID,Ticket Description,Category
T001,"Dear customer service, I'm facing an issue related to the dashboard not loading properly. Thanks in advance.",Technical Issue
T002,"Dear customer service, I'm facing an issue related to recovering my locked account. Thanks in advance.",Account Issue
T003,"Hey, I'm confused about a slow performance problem after update. Thanks!",Technical Issue
T004,"Hello, I'd like to understand the app freezing during login. Thanks in advance.",Technical Issue
T005,"Hey, I'm not sure how to handle a delay in payment confirmation. Please get back to me soon.",Billing Issue
T006,"Hi team, Can someone explain updating my profile picture. Thanks!",Account Issue
T007,"Hello, I need some guidance regarding linking multiple accounts together. Please advise.",Account Issue
T008,"Hey, Could you help me with why my payment method was declined. Awaiting your reply.",Billing Issue
T009,"Dear support, I'm having trouble with a transaction that failed but was charged. Hoping to get this resolved quickly.",Billing Issue
T010,"Dear support, Can someone explain how notifications and alerts work. Please advise.",General Inquiry
T011,"Good afternoon, I'm facing an issue related to options for annual plans. Thanks in advance.",Product Inquiry
T012,"Dear customer service, I'm confused about recovering my locked account. Thanks in advance.",Account Issue
T013,"Dear customer service, Could you help me with the app freezing during login. Thank you for your time.",Technical Issue
T014,"Hello team, I'm facing an issue related to audio issues during calls. Would love your assistance.",Technical Issue
T015,"Hello team, I'm having trouble with a slow performance problem after update. Hoping to get this resolved quickly.",Technical Issue
T016,"Greetings, I'm facing an issue related to pricing for student discounts. Awaiting your reply.",Product Inquiry
T017,"Greetings, I’d like to ask about adding another payment method. Hoping to get this resolved quickly.",Account Issue
T018,"Hello, I’d like to ask about how to get more storage space. Looking forward to your response.",General Inquiry
T019,"Hey, Could you please check whether I can access multiple devices. Thanks!",General Inquiry
T020,"Hey there, I need some guidance regarding linking multiple accounts together. Please get back to me soon.",Account Issue
T021,"Dear customer service, Could you help me with a delay in payment confirmation. Thanks!",Billing Issue
T022,"Hey, I'd like to understand a transaction that failed but was charged. Thank you for your time.",Billing Issue
T023,"Dear support, I'm confused about if you provide API integration. Please advise.",Product Inquiry
T024,"Dear support, I need some guidance regarding how to download previous invoices. Thanks!",Billing Issue
T025,"Hi team, I'd like to understand refund status for my last payment. Looking forward to your response.",Billing Issue
T026,"Good afternoon, I'd like to understand how to download previous invoices. Hoping to get this resolved quickly.",Billing Issue
T027,"Hey there, I'm not sure how to handle frequent disconnections during sessions. Would love your assistance.",Technical Issue
T028,"Dear customer service, I'm confused about how to get a trial license key. Would love your assistance.",Product Inquiry
T029,"Dear customer service, I'm confused about a transaction that failed but was charged. Awaiting your reply.",Billing Issue
T030,"Good afternoon, Could you help me with why updates stop halfway. Awaiting your reply.",Technical Issue
T031,"Hi team, I'd like to understand updating my profile picture. Hoping to get this resolved quickly.",Account Issue
T032,"Hey, I'm not sure how to handle if you provide API integration. Awaiting your reply.",Product Inquiry
T033,"Hi, I’d like to ask about why updates stop halfway. Please get back to me soon.",Technical Issue
T034,"Hey there, I'm facing an issue related to why updates stop halfway. Would love your assistance.",Technical Issue
T035,"Dear support, I'm facing an issue related to the dashboard not loading properly. Appreciate your help.",Technical Issue
T036,"Hey there, I’d like to ask about why my account was deactivated. Thank you for your time.",Account Issue
T037,"Hi, I'm not sure how to handle a double charge I noticed on my statement. Appreciate your help.",Billing Issue
T038,"Dear customer service, I'd like to understand your subscription upgrade process. Please advise.",General Inquiry
T039,"Hello team, I need some guidance regarding incorrect tax showing in my invoice. Appreciate your help.",Billing Issue
T040,"Dear support, I need some guidance regarding how notifications and alerts work. Would love your assistance.",General Inquiry
T041,"Hi team, I'd like to understand what happens after cancelling my plan. Thanks in advance.",General Inquiry
T042,"Hey, I'm having trouble with getting a receipt for the last order. Please get back to me soon.",Billing Issue
T043,"Hey, I'm confused about what happens after cancelling my plan. Would love your assistance.",General Inquiry
T044,"Dear customer service, I'd like to understand how to contact your customer care directly. Hoping to get this resolved quickly.",General Inquiry
T045,"Good afternoon, Can someone explain removing a connected social account. Please get back to me soon.",Account Issue
T046,"Hello team, I need some guidance regarding options for annual plans. Appreciate your help.",Product Inquiry
T047,"Dear customer service, I'm not sure how to handle recovering my locked account. Thanks!",Account Issue
T048,"Hello, I'd like to understand a double charge I noticed on my statement. Thank you for your time.",Billing Issue
T049,"Dear customer service, I'd like to understand trouble installing the latest patch. Awaiting your reply.",Technical Issue
T050,"Hey there, Can someone explain crashes when exporting data. Thanks!",Technical Issue
T051,"Hey, I'm facing an issue related to getting a receipt for the last order. Thanks in advance.",Billing Issue
T052,"Greetings, I'm not sure how to handle removing a connected social account. Hoping to get this resolved quickly.",Account Issue
T053,"Hello, Can someone explain getting a receipt for the last order. Would love your assistance.",Billing Issue
T054,"Hi, Can someone explain resetting my password. Thanks in advance.",Account Issue
T055,"Hello team, Can someone explain trouble installing the latest patch. Hoping to get this resolved quickly.",Technical Issue
T056,"Dear support, Could you please check what happens after cancelling my plan. Looking forward to your response.",General Inquiry
T057,"Hi, I'm not sure how to handle removing a connected social account. Please get back to me soon.",Account Issue
T058,"Good afternoon, I'm confused about the app freezing during login. Appreciate your help.",Technical Issue
T059,"Hey there, I'm facing an issue related to whether your service supports business accounts. Would love your assistance.",Product Inquiry
T060,"Greetings, I'm not sure how to handle options for annual plans. Please get back to me soon.",Product Inquiry
T061,"Dear support, I need some guidance regarding crashes when exporting data. Would love your assistance.",Technical Issue
T062,"Hey there, I’d like to ask about compatibility with Android phones. Appreciate your help.",Product Inquiry
T063,"Dear customer service, I'm facing an issue related to two-factor authentication setup. Would love your assistance.",Account Issue
T064,"Dear customer service, Can someone explain getting a receipt for the last order. Thanks!",Billing Issue
T065,"Hey there, I’d like to ask about refund status for my last payment. Hoping to get this resolved quickly.",Billing Issue
T066,"Hey there, I'm confused about changing my registered email. Thank you for your time.",Account Issue
T067,"Dear support, I’d like to ask about removing a connected social account. Would love your assistance.",Account Issue
T068,"Dear support, Can someone explain removing a connected social account. Would love your assistance.",Account Issue
T069,"Hey there, I’d like to ask about the app freezing during login. Please get back to me soon.",Technical Issue
T070,"Greetings, I'm confused about feature comparison between standard and premium plans. Please get back to me soon.",Product Inquiry
T071,"Hi team, Could you help me with if you provide API integration. Appreciate your help.",Product Inquiry
T072,"Good afternoon, Can someone explain frequent disconnections during sessions. Hoping to get this resolved quickly.",Technical Issue
T073,"Greetings, I'm not sure how to handle availability of your latest device version. Appreciate your help.",Product Inquiry
T074,"Hello, I'm having trouble with getting a receipt for the last order. Appreciate your help.",Billing Issue
T075,"Good afternoon, I'm not sure how to handle how to contact your customer care directly. Hoping to get this resolved quickly.",General Inquiry
T076,"Hi, I'm facing an issue related to whether I can access multiple devices. Please advise.",General Inquiry
T077,"Hello, Could you help me with the dashboard not loading properly. Please advise.",Technical Issue
T078,"Dear customer service, I'm facing an issue related to the app freezing during login. Looking forward to your response.",Technical Issue
T079,"Hi, Could you please check recovering my locked account. Thanks!",Account Issue
T080,"Greetings, I'd like to understand why my account was deactivated. Please get back to me soon.",Account Issue
T081,"Greetings, Could you help me with error code 504 appearing on screen. Thanks!",Technical Issue
T082,"Hello, I'm having trouble with where to find company policies. Thanks in advance.",General Inquiry
T083,"Hi team, Could you please check pricing for student discounts. Please get back to me soon.",Product Inquiry
T084,"Dear support, I'm facing an issue related to the duration of your free trial. Hoping to get this resolved quickly.",General Inquiry
T085,"Greetings, Can someone explain changing my registered email. Thanks!",Account Issue
T086,"Hi, Could you help me with changing my registered email. Thanks in advance.",Account Issue
T087,"Greetings, I'd like to understand the app freezing during login. Thanks in advance.",Technical Issue
T088,"Hello team, Can someone explain recovering my locked account. Looking forward to your response.",Account Issue
T089,"Greetings, Could you help me with why my account was deactivated. Thanks!",Account Issue
T090,"Hey there, I'm facing an issue related to two-factor authentication setup. Looking forward to your response.",Account Issue
T091,"Hello team, I’d like to ask about how to get more storage space. Looking forward to your response.",General Inquiry
T092,"Hello, I'm facing an issue related to how to get a trial license key. Please advise.",Product Inquiry
T093,"Hey there, I need some guidance regarding a slow performance problem after update. Thanks!",Technical Issue
T094,"Hi team, I'd like to understand recovering my locked account. Looking forward to your response.",Account Issue
T095,"Hi team, I'd like to understand the app freezing during login. Thanks in advance.",Technical Issue
T096,"Hey, I'm having trouble with adding another payment method. Appreciate your help.",Account Issue
T097,"Greetings, I'm facing an issue related to changing my registered email. Awaiting your reply.",Account Issue
T098,"Hello, I'm not sure how to handle a slow performance problem after update. Looking forward to your response.",Technical Issue
T099,"Hello, I'm confused about where to find company policies. Appreciate your help.",General Inquiry
T100,"Hey there, Could you help me with audio issues during calls. Would love your assistance.",Technical Issue
T101,"Greetings, Can someone explain availability of your latest device version. Thanks in advance.",Product Inquiry
T102,"Hey, I'm not sure how to handle compatibility with Android phones. Appreciate your help.",Product Inquiry
T103,"Hey, I’d like to ask about pricing for student discounts. Hoping to get this resolved quickly.",Product Inquiry
T104,"Dear support, I'm having trouble with how to refer a friend for discounts. Would love your assistance.",General Inquiry
T105,"Hello, Can someone explain why my payment method was declined. Appreciate your help.",Billing Issue
T106,"Hello team, Could you help me with what happens after cancelling my plan. Awaiting your reply.",General Inquiry
T107,"Good afternoon, I'm facing an issue related to what happens after cancelling my plan. Looking forward to your response.",General Inquiry
T108,"Dear support, I'm not sure how to handle removing a connected social account. Please get back to me soon.",Account Issue
T109,"Greetings, Could you please check whether I can access multiple devices. Appreciate your help.",General Inquiry
T110,"Hi team, I'm having trouble with pricing for student discounts. Awaiting your reply.",Product Inquiry
T111,"Good afternoon, Can someone explain crashes when exporting data. Thank you for your time.",Technical Issue
T112,"Hi team, I'd like to understand updating my profile picture. Please get back to me soon.",Account Issue
